data_type,plink_version,time_sec,n_invididuals,n_phenotypes,n_snps_per_phenotype
PLINK text filenames,2.0,NA,1000,1,10
PLINK binary filenames,1.7,0.7168440818786621,1000,1,10
PLINK binary filenames,1.9,0.6992383003234863,1000,1,10
PLINK binary filenames,2.0,NA,1000,1,10
PLINK2 binary filenames,1.7,NA,1000,1,10
PLINK2 binary filenames,1.9,NA,1000,1,10
PLINK2 binary filenames,2.0,1.1101715564727783,1000,1,10
PLINK text filenames,1.7,0.6243433952331543,1000,1,100
PLINK text filenames,1.9,0.5850682258605957,1000,1,100
PLINK text filenames,2.0,NA,1000,1,100
PLINK binary filenames,1.7,0.7294900417327881,1000,1,100
PLINK binary filenames,1.9,0.7157144546508789,1000,1,100
PLINK binary filenames,2.0,NA,1000,1,100
PLINK2 binary filenames,1.7,NA,1000,1,100
PLINK2 binary filenames,1.9,NA,1000,1,100
PLINK2 binary filenames,2.0,1.1320483684539795,1000,1,100
PLINK text filenames,1.7,0.9812548160552979,1000,1,1000
PLINK text filenames,1.9,0.6251957416534424,1000,1,1000
PLINK text filenames,2.0,NA,1000,1,1000
PLINK binary filenames,1.7,0.7727632522583008,1000,1,1000
PLINK binary filenames,1.9,0.7324259281158447,1000,1,1000
PLINK binary filenames,2.0,NA,1000,1,1000
PLINK2 binary filenames,1.7,NA,1000,1,1000
PLINK2 binary filenames,1.9,NA,1000,1,1000
PLINK2 binary filenames,2.0,1.161374568939209,1000,1,1000
PLINK text filenames,1.7,0.6533401012420654,1000,10,1
PLINK text filenames,1.9,0.6075248718261719,1000,10,1
PLINK text filenames,2.0,NA,1000,10,1
PLINK binary filenames,1.7,0.7820677757263184,1000,10,1
PLINK binary filenames,1.9,0.7525136470794678,1000,10,1
PLINK binary filenames,2.0,NA,1000,10,1
PLINK2 binary filenames,1.7,NA,1000,10,1
PLINK2 binary filenames,1.9,NA,1000,10,1
PLINK2 binary filenames,2.0,1.2323791980743408,1000,10,1
PLINK text filenames,1.7,0.6918704509735107,1000,10,10
PLINK text filenames,1.9,0.6090133190155029,1000,10,10
PLINK text filenames,2.0,NA,1000,10,10
PLINK binary filenames,1.7,0.7961971759796143,1000,10,10
PLINK binary filenames,1.9,0.7528820037841797,1000,10,10
PLINK binary filenames,2.0,NA,1000,10,10
PLINK2 binary filenames,1.7,NA,1000,10,10
PLINK2 binary filenames,1.9,NA,1000,10,10
PLINK2 binary filenames,2.0,1.1879231929779053,1000,10,10
PLINK text filenames,1.7,1.2062044143676758,1000,10,100
PLINK text filenames,1.9,0.6658992767333984,1000,10,100
PLINK text filenames,2.0,NA,1000,10,100
PLINK binary filenames,1.7,1.0188686847686768,1000,10,100
PLINK binary filenames,1.9,0.7707297801971436,1000,10,100
PLINK binary filenames,2.0,NA,1000,10,100
PLINK2 binary filenames,1.7,NA,1000,10,100
PLINK2 binary filenames,1.9,NA,1000,10,100
PLINK2 binary filenames,2.0,1.1903657913208008,1000,10,100
PLINK text filenames,1.7,6.802454233169556,1000,10,1000
PLINK text filenames,1.9,1.2544639110565186,1000,10,1000
PLINK text filenames,2.0,NA,1000,10,1000
PLINK binary filenames,1.7,3.156012773513794,1000,10,1000
PLINK binary filenames,1.9,1.081312656402588,1000,10,1000
PLINK binary filenames,2.0,NA,1000,10,1000
PLINK2 binary filenames,1.7,NA,1000,10,1000
PLINK2 binary filenames,1.9,NA,1000,10,1000
PLINK2 binary filenames,2.0,1.2988989353179932,1000,10,1000
PLINK text filenames,1.7,2.842451572418213,1000,100,1
PLINK text filenames,1.9,0.9303641319274902,1000,100,1
PLINK text filenames,2.0,NA,1000,100,1
PLINK binary filenames,1.7,2.9616427421569824,1000,100,1
PLINK binary filenames,1.9,1.110395908355713,1000,100,1
PLINK binary filenames,2.0,NA,1000,100,1
PLINK2 binary filenames,1.7,NA,1000,100,1
PLINK2 binary filenames,1.9,NA,1000,100,1
PLINK2 binary filenames,2.0,1.2873756885528564,1000,100,1
PLINK text filenames,1.7,4.786559343338013,1000,100,10
PLINK text filenames,1.9,1.2199478149414062,1000,100,10
PLINK text filenames,2.0,NA,1000,100,10
PLINK binary filenames,1.7,4.628792762756348,1000,100,10
PLINK binary filenames,1.9,1.2957231998443604,1000,100,10
PLINK binary filenames,2.0,NA,1000,100,10
PLINK2 binary filenames,1.7,NA,1000,100,10
PLINK2 binary filenames,1.9,NA,1000,100,10
PLINK2 binary filenames,2.0,1.4510340690612793,1000,100,10
PLINK text filenames,1.7,27.02322793006897,1000,100,100
PLINK text filenames,1.9,4.238679885864258,1000,100,100
PLINK text filenames,2.0,NA,1000,100,100
PLINK binary filenames,1.7,23.8449969291687,1000,100,100
PLINK binary filenames,1.9,3.8312933444976807,1000,100,100
PLINK binary filenames,2.0,NA,1000,100,100
PLINK2 binary filenames,1.7,NA,1000,100,100
PLINK2 binary filenames,1.9,NA,1000,100,100
PLINK2 binary filenames,2.0,2.0084903240203857,1000,100,100
PLINK text filenames,1.7,4.235585761070252,1000,100,1000
PLINK text filenames,1.9,33.786900997161865,1000,100,1000
PLINK text filenames,2.0,NA,1000,100,1000
PLINK binary filenames,1.7,3.7032842596371967,1000,100,1000
PLINK binary filenames,1.9,29.375932455062866,1000,100,1000
PLINK binary filenames,2.0,NA,1000,100,1000
PLINK2 binary filenames,1.7,NA,1000,100,1000
PLINK2 binary filenames,1.9,NA,1000,100,1000
PLINK2 binary filenames,2.0,8.26298451423645,1000,100,1000
